prompt,text,rejected_text
[情報] 山姆和佛羅多玩柏德之門3,"

如題 拉瑞安最新的宣傳片

邀請了飾演魔戒哈比人的山姆及佛羅多的演員來遊玩

騙佛羅多往幽暗地域跳直接摔死有夠靠北XD

--
",I don't know what you are talking about.
[閒聊] 林黛玉今晚會怎麼過聖誕夜？,"我老婆林黛玉





有人知道她今晚會怎麼過聖誕夜嗎？


--
",I don't know what you are talking about.
Re: [問題] 全空第二騷是誰？,"※ 引述《Jacksalmon52 ( Jacksalmon52)》之銘言：
: ※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1703483672.A.4DF.html
: 推 arrenwu: 秩序騎空團的莫妮卡                                     12/25 13:55
: 推 we15963: 莫妮卡是對ㄌㄌㄎ來說吧?                                12/25 13:57
你才蘿莉控 你全家都

@kizusata



















公主連結不知道有沒有機會也來張27歲的莫妮卡

--
令人心跳加速的購物旅程
原出處：https://twitter.com/Hairi_1617/status/1521780942221631489

--
",I don't know what you are talking about.
[問題] 恰民喜歡哪種戰爭方式,"乳頭

很多動漫都會以超能力的方式描繪戰爭

現代則是漸漸強調以無人機種取代人類親自上戰場作為戰爭的方式

設未來科學發現人體有某種可以發動超能力的潛能，可以把它想像成查克拉或念能力

辣模，恰民會比較傾向親自上戰場發動超能力打殺四方還是交給ai呢？

--
",I don't know what you are talking about.
[閒聊] 為啥五條死了才圍攻宿攤,"玩到後面還是搞群毆

是說五條活著起碼可以拖著宿攤

日車找個機會用牙籤戳ㄧ戳就贏了

幹嘛等死了才圍攻宿攤

看不懂啊



0.0..

--
",I don't know what you are talking about.
[閒聊] 公主連結 聖誕賀圖,"
本日12月24日はクリスマスイブですね♪
クリスマスを姉妹で楽しむハツネとシオリの描きおろしイラストをお届けします！

クリスマスツリーに星を飾り終えてパーティの準備完了みたいですね♪
#プリコネR


難得有官方非抽池非活動的純賀圖

初音和小栞人氣都算不差的情況下

她們換裝的角色卻少之又少呀
----
Sent from BePTT

--
",I don't know what you are talking about.
Re: [情報] 我內心的糟糕念頭 136 預告,"※ 引述《whisperXD (微語)》之銘言：
: https://twitter.com/lovely_pig328/status/1734543824133968326
: https://pbs.twimg.com/media/GBJWagfbwAAftDW.jpg
: 次回、ここでエッチをひとつまみ...
: 老師終於想起來最初的標題，「性の四日間」了嗎xDD
: ------------
: https://mangacross.jp/comics/yabai/143
: https://pbs.twimg.com/media/GBI63xgb0AAQ5bF.jpg


阿桃真的很煩XDDDDDD

--
",I don't know what you are talking about.
[咒術] 已經沒人期待五條了嗎？,"
雷

現在討論方向已經越來約偏向虎仗最後怎麼收尾 還有各種追加設定

已經沒人期待五條下一話站起來

然後再戰的嗎？

只有我覺得五條仍然會復活的嗎？？！！

--
",I don't know what you are talking about.
[閒聊] 一勝千金 15 六道仙人姬奈醬,"在退無可退的情況下，柚8用硬氣功硬抗下姬奈的踢擊，接著就開始了困獸之鬥般的絕地反
擊，想要趁著姬奈左腳重傷移動困難的情況下一舉拿下勝利
場邊的瀨名妹妹激情解說，但不太聰明的姐姐看起來完全沒有明白

然而這波連擊雖然有效，但只有一點點
場下的眾人看出姬奈打算發動迎擊，但覺得在腳被廢的情況下光用手不足以打倒柚8

然而姬奈的身體控制遠非常人，肌肉暴起肌腱壓縮到極限


柚8在賽後的採訪中表示她當時只感覺到被一道光貫穿
速度之快讓台下沒有忍者動態視力的純良觀眾根本不知道發生了什麼事，柚8就這樣突然停
下動作，七孔流血倒下了

場下的瀨名姐都感嘆姬奈這他媽根本不是人類吧，天馬震驚於姬奈的肌腱強度根本遠超常人
，簡直就像手上裝了一個強力彈簧，利用柚8上步發勁的時機打出一發完美的迎擊拳直接KO

瀨名妹還在分析姬奈的秘密就是這個精密的身體操作能力，而大姐還是一副完全不明覺厲的
樣子，超級可愛

最後毫不意外的是由姬奈拿下勝利，我根本想像不到革命姬輸的樣子.jpg

姬奈還感嘆好久沒用過「六道」了，謝謝老婆，這次玩的很開心，下次還要

--
",I don't know what you are talking about.
[蔚藍] 竟然還有人用這招,"
該不會有人讓外送員去幫他兔子跳拿袋子吧XDDD

這種大人最討厭了

--

--
",I don't know what you are talking about.
[問題] 請問東京哪裡可買漫畫的畫布跟裱框畫呢,"如題
我想要去東京買如下圖的漫畫畫布與裱框畫放在家掛著貼著
有版友有在東京的中野百老匯或秋葉原的那間店買過嗎，二手店也無妨，謝謝～

--
",I don't know what you are talking about.
[Vtub] Vedal987榮登七天內排名第一女性實況主,"
根據網站Stream Charts的統計
若以七天內的總觀看時數作排名
在Twitch的女性實況主中
Vedal987位居榜首

恭喜Vedal987



一年前的Vedal：我不是實況主，更不是Vtuber
現在：Twitch第一女性實況主，最佳技術Vtuber

--
",I don't know what you are talking about.
Re: [Vtub] Nerou 烏龜破產了，負債1.5億美,"※ 引述《Mayfly (Baccano)》之銘言：
: 【【Neuro】V公子大气！负债1.5亿美金送出500万个Fumo！】 https://www.bilibili.com/
: video/BV1KC4y1D7mA/?share_source=copy_web&vd_source=964ec753fa8c0d0d36cc70d87d06
: 97b5
: neuro：OK Vedal，你現在有兩個選擇，搶銀行，或是向chat乞討。
: 烏龜：或者……破Twitch送禮的歷史紀錄？
: --
: ",I don't know what you are talking about.
[蔚藍] 小鉤ハレ（キャンプ）  立繪公開,"【生徒紹介】
寒い冬にあわせて暖かい格好へと着替えたハレさん。
久々に外出することになった上、電波がほとんど通じないキャンプ場に足を運ぶことにな
り、いつもよりテンションが下がっているご様子…。

「うう……外に出ないとダメなの……？」



新的超級人權

--

--
",I don't know what you are talking about.
[閒聊] 三寶之首的芙莉蓮,"
菲倫,再說一次哪個是剎車


---

不愧是葬送的三寶之首 如此兇殘

--
",I don't know what you are talking about.
[閒聊] 境界觸發者 看得不過癮啊,"劇情我覺得算簡單

不過各個人物的互動跟行為理念都各有不同

慢慢推動起來的樣子看得很過癮

而且只要隨便找一個人說一句：「接下來這裡是重頭戲」

就讓人很容易抓到重點 看得很燃

不過就是……我一下就追到最新啦

看不過癮==

動畫二季開看

--
",I don't know what you are talking about.
[閒聊] 芹澤朝日 一張,"明天要更新Stray Light組連載漫畫的第4回

官方今天先放一張上來



這朝日也太可愛了吧...心臟爆擊耶

不知道是不是朝日回呢 期待更新

--
",I don't know what you are talking about.
[Vtub] 來栖夏芽12/26 18：00四週年新衣裝！,"
老婆有新衣服啊！老婆要四週年啦！
我好興奮啊！

@nekoguyy

@fuuru14

推到現在已經兩年了
當時偶然間聽到夏芽鋼琴回時被徹底暈到
然後暈到現在了

明天在發吧我想 雖然錢不多就是了

-----
Sent from JPTT on my Asus ASUS_Z01RD.

--
夏芽清楚、夏芽可愛、夏芽會跳舞!!


--
",I don't know what you are talking about.
[閒聊] 皮卡丘 我要進來了,"


----
Sent from BePTT

--
",I don't know what you are talking about.
[蔚藍]熱狗彩奈一卡通可以領啦,"如題 
其實12/23就可以拿了
但太冷懶得出門 今天才拿
熱狗彩奈真的做的超精緻...好讚...
終於可以把熱狗彩奈帶回家啦
真的好想好想吃掉

--
",I don't know what you are talking about.
[閒聊] 船夸座兔鴨哪幾個是陰角阿？,"昨天聖誕夜

PEKO開台召集了船、夸、鴨、座長

可是待機圖裡面又是寫陰角派對

我是疑惑一下

除了夸自稱是陰角

剩下幾個都嗨到不行吧

到底還有誰是陰角

還有一趴三個人去上廁所

獨留夸、兔

這兩個就說喔怎麼只剩下我們兩個陰的


兔田真的算陰角喔????


還是我誤會了

這五個有哪幾個是陰角?



阿是說 船夸兔鴨


感覺少了誰 有人知道嗎= =?

--
",I don't know what you are talking about.
Re: [閒聊] 用單詞作為人名的感覺,"※ 引述《togs (閒聊)》之銘言：
: 最近看某部不錯的作品，
: 突然有點好奇
: 若作者用某一個國家的單字作為人名，那麼對那個國家的觀眾來說，
: 看到時會有怎樣的感覺?
: 舉例來說，
: 若藏馬名字改為花朵、趙靈兒改為鐵、李逍遙名字改為天國、
: 林月如改為凍結。
: 那麼該國讀者聽起來可能像是: ""天國究竟喜歡凍結，還是喜歡鐵?""
: 猜測一下，
: 若該國也有人取這種名字，那也許聽起來ok?
: https://imgur.com/HSxK0kW.jpg
: 像是有人姓劉、名字叫劉鐵之類?
: 陳凍結? 林天國?

拿名詞、形容詞或動詞來取名這種事
應該全世界各地都很常見

畢竟原PO舉的例也是這類名字，太熟悉反而完形崩壞了

歐洲語言可以從希臘-羅馬字根開始變
查詞源超有趣ㄉ

不過要回答「怎樣的感覺」
我翻到版上有篇文章剛好有回答到

[閒聊] 被角色名字干擾而無法專注劇情的經驗?
#1auuEO8X (C_Chat)

雖然是常見詞彙，但太少用來命名的話
就是瘋狂出戲= =

--
Sent from nPTT on my iPhone 8

--
",I don't know what you are talking about.
[蔚藍] 音瀨コタマ（キャンプ） 立繪公開,"【生徒紹介】
冬の課外活動のため、相応しい姿に着替えたコタマさん。
外出する気はなかったものの、普段は録音しづらい環境音を収録できるチャンスとポジテ
ィブに捉えている模様…。

「私が……行くのが効率的なら」



卑女+1



提供一下推特算數師試算表


--

--
",I don't know what you are talking about.
